time,TAI_SECONDS,LAST_ACC_CMD_BYTES1,LAST_ACC_CMD_BYTES2,LAST_ACC_CMD_BYTES3,LAST_ACC_CMD_BYTES4,LAST_ACC_CMD_BYTES5,LAST_ACC_CMD_BYTES6
2022-02-02T18:26:07Z,3485491839,31,1,3,240,0,4
2022-02-02T18:26:08Z,3485491844,31,1,3,240,0,4
2022-02-02T18:26:09Z,3485491849,31,1,3,240,0,4
2022-02-02T18:26:10Z,3485491854,31,1,3,240,0,4
2022-02-02T18:26:11Z,3485491859,31,1,3,240,0,4
2022-02-02T18:26:12Z,3485491864,31,1,3,240,0,4
2022-02-02T18:26:13Z,3485491869,31,1,3,240,0,4
2022-02-02T18:26:14Z,3485491874,31,1,3,240,0,4
2022-02-02T18:26:15Z,3485491879,31,1,3,240,0,4
2022-02-02T18:26:16Z,3485491884,31,1,3,240,0,4
2022-02-02T18:26:17Z,3485491889,31,1,3,240,0,4
2022-02-02T18:26:18Z,3485491894,31,1,3,240,0,4
2022-02-02T18:26:19Z,3485491899,31,1,3,240,0,4
2022-02-02T18:26:20Z,3485491904,31,1,3,240,0,4
2022-02-02T18:26:21Z,3485491909,31,1,3,240,0,4
2022-02-02T18:26:22Z,3485491914,31,1,3,240,0,4
2022-02-02T18:26:23Z,3485491919,31,1,3,240,0,4
2022-02-02T18:26:24Z,3485491924,31,1,3,240,0,4
2022-02-02T18:26:25Z,3485491929,31,1,3,240,0,4
2022-02-02T18:26:26Z,3485491934,31,1,3,240,0,4
2022-02-02T18:26:27Z,3485491939,31,1,3,240,0,4
2022-02-02T18:26:28Z,3485491944,31,1,3,240,0,4
2022-02-02T18:26:29Z,3485491949,31,1,3,240,0,4
2022-02-02T18:26:30Z,3485491954,31,1,3,240,0,4
2022-02-02T18:26:31Z,3485491959,31,1,3,240,0,4
2022-02-02T18:26:32Z,3485491964,31,1,3,240,0,4
2022-02-02T18:26:33Z,3485491969,31,1,3,240,0,4
2022-02-02T18:26:34Z,3485491974,31,1,3,240,0,4
2022-02-02T18:26:35Z,3485491979,31,1,3,240,0,4
2022-02-02T18:26:36Z,3485491984,31,1,3,240,0,4
2022-02-02T18:26:37Z,3485491989,31,1,3,240,0,4
2022-02-02T18:26:38Z,3485491994,31,1,3,240,0,4
2022-02-02T18:26:39Z,3485491998,31,1,3,240,0,4
2022-02-02T18:26:40Z,3485492004,31,1,3,240,0,4
2022-02-02T18:26:41Z,3485492008,31,1,3,240,0,4
2022-02-02T18:26:42Z,3485492014,31,1,3,240,0,4
2022-02-02T18:26:43Z,3485492019,31,1,3,240,0,4
2022-02-02T18:26:44Z,3485492021,31,1,3,240,0,4
2022-02-02T18:26:45Z,3485492029,31,1,3,240,0,4
2022-02-02T18:26:46Z,3485492032,31,1,3,240,0,4
2022-02-02T18:26:47Z,3485492039,31,1,3,240,0,4
2022-02-02T18:26:48Z,3485492044,31,1,3,240,0,4
2022-02-02T18:26:49Z,3485492049,31,1,3,240,0,4
2022-02-02T18:26:50Z,3485492054,31,1,3,240,0,4
2022-02-02T18:26:51Z,3485492057,31,1,3,240,0,4
2022-02-02T18:26:52Z,3485492064,31,1,3,240,0,4
2022-02-02T18:26:53Z,3485492069,31,1,3,240,0,4
2022-02-02T18:26:54Z,3485492074,31,1,3,240,0,4
2022-02-02T18:26:55Z,3485492079,31,1,3,240,0,4
2022-02-02T18:26:56Z,3485492084,31,1,3,240,0,4
2022-02-02T18:26:57Z,3485492089,31,1,3,240,0,4
2022-02-02T18:26:58Z,3485492094,31,1,3,240,0,4
2022-02-02T18:26:59Z,3485492096,31,1,3,240,0,4
2022-02-02T18:27:00Z,3485492104,31,1,3,240,0,4
2022-02-02T18:27:01Z,3485492107,31,1,3,240,0,4
2022-02-02T18:27:02Z,3485492114,31,1,3,240,0,4
2022-02-02T18:27:03Z,3485492119,31,1,3,240,0,4
2022-02-02T18:27:04Z,3485492124,31,1,3,240,0,4
